iter	RMSE
1299	51599.70661
1300	51580.42973
1301	51560.30422
1302	51533.62773
1303	51509.30377
1304	51490.10419
1305	51463.63125
1306	51444.26136
1307	51434.555
1308	51420.83469
1309	51397.33916
1310	51384.28336
1311	51371.80339
1312	51353.97872
1313	51342.38776
1314	51317.98026
1315	51296.7965
1316	51289.38064
1317	51278.98687
1318	51266.84468
1319	51246.8477
1320	51227.11224
1321	51214.43006
1322	51204.01431
1323	51181.09245
1324	51155.64749
1325	51140.09874
1326	51126.39689
1327	51110.47891
1328	51089.02275
1329	51079.72196
1330	51066.02312
1331	51047.61713
1332	51018.63114
1333	50992.865
1334	50977.82553
1335	50960.82041
1336	50950.18607
1337	50942.86272
1338	50926.71943
1339	50913.10882
1340	50902.53216
1341	50895.13013
1342	50885.55085
1343	50870.79006
1344	50857.00697
1345	50848.09118
1346	50832.46111
1347	50822.82225
1348	50814.77297
1349	50806.25285
1350	50786.4536
1351	50770.91725
1352	50758.43742
1353	50748.37286
1354	50733.20716
1355	50719.66783
1356	50701.69676
1357	50689.63662
1358	50672.27279
1359	50655.88625
1360	50636.76449
1361	50620.94047
1362	50606.32531
1363	50589.51766
1364	50573.74075
1365	50557.35986
1366	50538.23049
1367	50519.4069
1368	50507.71483
1369	50497.29213
1370	50485.64946
1371	50472.45137
1372	50451.57049
1373	50424.52261
1374	50407.91909
1375	50395.46401
1376	50388.77518
1377	50380.55886
1378	50372.875
1379	50361.90305
1380	50350.63671
1381	50325.26149
1382	50313.36304
1383	50304.21583
1384	50281.34754
1385	50270.8273
1386	50257.91109
1387	50242.11246
1388	50229.2727
1389	50217.21383
1390	50204.62507
1391	50196.17312
1392	50182.94944
1393	50164.09017
1394	50145.73592
1395	50124.39506
1396	50098.54773
1397	50087.25372
1398	50066.46126
1399	50055.7951
1400	50044.31098
1401	50032.83131
1402	50000.02042
1403	49981.79383
1404	49972.75934
1405	49962.40356
1406	49939.68298
1407	49924.15204
1408	49915.68775
1409	49899.87674
1410	49877.23158
1411	49860.10647
1412	49844.73962
1413	49833.47134
1414	49809.39807
1415	49786.17406
1416	49774.54016
1417	49762.98443
1418	49748.10114
1419	49739.26264
1420	49720.98374
1421	49709.15596
1422	49684.66562
1423	49673.98597
1424	49653.10045
1425	49634.22509
1426	49623.04711
1427	49614.23849
1428	49605.49585
1429	49586.80198
1430	49578.55229
1431	49555.94496
1432	49547.6227
1433	49535.6027
1434	49525.30692
1435	49510.7237
1436	49497.54972
1437	49477.90895
1438	49461.76672
1439	49454.14357
1440	49436.91
1441	49426.16059
1442	49400.68996
1443	49386.31235
1444	49371.13186
1445	49355.00736
1446	49338.93944
1447	49322.87251
1448	49299.20542
1449	49280.61213
1450	49265.47066
1451	49243.76428
1452	49230.95222
1453	49219.86143
1454	49201.77234
1455	49190.5346
1456	49179.42166
1457	49170.49169
1458	49154.33694
1459	49141.21328
1460	49134.35104
1461	49113.37427
1462	49106.46736
1463	49097.35832
1464	49085.34765
1465	49071.37576
1466	49058.4514
1467	49044.53709
1468	49035.01582
1469	49022.53316
1470	49007.22521
1471	48992.10674
1472	48980.3738
1473	48972.23631
1474	48954.74327
1475	48940.90709
1476	48923.59005
1477	48915.40929
1478	48904.11503
1479	48890.70078
1480	48876.6201
1481	48868.72684
1482	48854.97177
1483	48831.87047
1484	48822.86334
1485	48804.37886
1486	48793.74674
1487	48786.33444
1488	48772.03624
1489	48758.37591
1490	48743.87952
1491	48733.73374
1492	48721.07838
1493	48707.13048
1494	48693.50151
1495	48679.953
1496	48671.4939
1497	48656.70001
1498	48633.06454
1499	48614.40733
1500	48597.10669
1501	48572.77954
1502	48564.17015
1503	48557.12046
1504	48543.28727
1505	48530.00018
1506	48519.57994
1507	48503.10861
1508	48494.23684
1509	48483.85518
1510	48472.67541
1511	48463.65084
1512	48455.157
1513	48438.91848
1514	48426.57623
1515	48417.01867
1516	48407.91834
1517	48394.2831
1518	48382.17089
1519	48375.35627
1520	48366.90867
1521	48359.67864
1522	48348.99956
1523	48326.53038
1524	48318.61063
1525	48292.83927
1526	48276.34854
1527	48260.36921
1528	48237.02337
1529	48218.83756
1530	48207.13119
1531	48196.95455
1532	48184.25134
1533	48177.99472
1534	48154.36025
1535	48145.45949
1536	48130.53241
1537	48101.6207
1538	48090.06259
1539	48073.21588
1540	48061.69089
1541	48047.47403
1542	48032.29108
1543	48005.01747
1544	47992.35308
1545	47966.40312
1546	47945.05171
1547	47933.49778
1548	47917.9798
1549	47906.68665
1550	47893.55166
1551	47873.4981
1552	47862.17464
1553	47843.07762
1554	47833.18377
1555	47813.93619
1556	47805.83084
1557	47797.90038
1558	47780.7032
1559	47769.15776
1560	47746.95528
1561	47735.76621
1562	47721.12313
1563	47716.76534
1564	47697.19619
1565	47680.3213
1566	47666.41819
1567	47650.671
1568	47633.21419
1569	47615.74923
1570	47600.75242
1571	47584.77634
1572	47572.82555
1573	47555.23827
1574	47538.23684
1575	47529.96939
1576	47518.10245
1577	47508.41046
1578	47493.18185
1579	47477.05151
1580	47460.83068
1581	47449.86589
1582	47435.70135
1583	47412.77474
1584	47388.3083
1585	47367.6
1586	47351.67268
1587	47332.1448
1588	47313.99815
1589	47296.59805
1590	47284.73728
1591	47266.79847
1592	47251.65296
1593	47239.63292
1594	47227.41421
1595	47216.00629
1596	47203.81604
1597	47177.7467
1598	47170.11048
1599	47148.96716
1600	47123.36649
1601	47113.68804
1602	47088.10594
1603	47074.96737
1604	47067.2364
